1,"SHAW, James"
2,"DAVIDSON, Marama"
3,"GENTER, Julie Anne"
4,"SAGE, Eugenie"
5,"HUGHES, Gareth"
6,"LOGIE, Jan"
7,"SWARBRICK, Chloe"
8,"GHAHRAMAN, Golriz"
9,"MATHERS, Mojo"
10,"COATES, Barry"
11,"McDONALD, Jack"
12,"HART, John"
13,"ROCHE, Denise"
14,"HOLT, Hayley Doreen"
15,"CROSSEN, Teall"
16,"TUIONO, Teanau"
17,"TAMU, Leilani Leafaitulagi"
18,"LAWREY, Matt"
19,"KEREKERE, Elizabeth"
20,"PERLEY, Christopher John"
21,"MENENDEZ MARCH, Ricardo"
22,"ZHU, Julie"
23,"LECKINGER, Richard"
24,"NASH, Thomas"
25,"TAYLOR, Sam"
26,"FULTON, Kate"
27,"WOODLEY, Tane"
28,"WRIGLEY, Jo"
29,"HOLWELL, Ash"
30,"GRAND-MEYER, Stefan"
31,"McCANDLESS, Robin Campbell"
32,"BOULD, Niki"
33,"GALLAGHER, Shane"
34,"SUMMERFIELD, Scott"
35,"SURENDRAN, Rochelle"
36,"WALSH, Bridget"
37,"GOLDSMITH, Rachael"
38,"WALL, Pat"
39,"GOODHUE, James"
40,"WESLEY, Richard"
41,"HUNT, Guy"
42,"DYETT, Elaine"
43,"FERGUSON, Sam"
44,"GILLIES, Richard"
45,"HODGE, Emma-Leigh"
46,"HORN, Chrys"
47,"JAUNG, Rebekah"
48,"LEE, David"
49,"MAYNE, Nicholas"
50,"MOORE, Robert"
51,"PATRICK, Nicola"
52,"RICHARDSON, Peter"
53,"RUDOLPH, Godfrey James"
54,"RUSDEN, Damon"
55,"SANDILANDS, Julie"
56,"SINGH, Raj"
57,"SMITH, Nicola"
58,"STEVENSON, Philippa"
59,"SWEET, Cathy"